pop	clust1	clust2	clust3	clust4	clust5
half	0.0241	0.9007	0.0153	0.0357	0.0242
half	0.2636	0.1644	0.0746	0.2047	0.2928
half	0.2030	0.2303	0.3815	0.1176	0.0675
half	0.0673	0.0311	0.0830	0.5085	0.3101
half	0.1640	0.0491	0.0502	0.6897	0.0470
half	0.7453	0.0261	0.0630	0.0534	0.1122
half	0.0370	0.8115	0.0252	0.0675	0.0588
half	0.2767	0.3687	0.0893	0.1520	0.1132
half	0.0812	0.0324	0.5137	0.2786	0.0941
half	0.4437	0.1190	0.0321	0.2535	0.1516
half	0.4835	0.0144	0.1251	0.1595	0.2175
half	0.0594	0.2485	0.0545	0.5209	0.1167
half	0.2521	0.0390	0.2423	0.2576	0.2091
half	0.2877	0.0643	0.0869	0.4476	0.1134
half	0.5196	0.0276	0.0807	0.2007	0.1715
half	0.0216	0.9203	0.0186	0.0202	0.0193
half	0.1252	0.1914	0.0397	0.1320	0.5117
half	0.0234	0.8730	0.0426	0.0328	0.0282
half	0.2516	0.0497	0.0388	0.5062	0.1537
half	0.0628	0.0280	0.1126	0.3151	0.4814
half	0.1044	0.2086	0.1874	0.3317	0.1679
half	0.2114	0.0681	0.0463	0.4545	0.2196
half	0.1261	0.0459	0.1680	0.2639	0.3961
half	0.3273	0.0990	0.0848	0.3015	0.1875
half	0.0268	0.8969	0.0242	0.0230	0.0291
half	0.2783	0.4964	0.0846	0.0620	0.0787
half	0.4252	0.0274	0.2657	0.2186	0.0631
half	0.3974	0.0964	0.1705	0.1761	0.1597
half	0.4959	0.1222	0.0470	0.2763	0.0586
half	0.5952	0.0800	0.0461	0.0517	0.2271
half	0.1042	0.0459	0.0655	0.3611	0.4234
half	0.1298	0.0798	0.4688	0.0835	0.2381
half	0.6797	0.0189	0.1470	0.0473	0.1071
half	0.1536	0.0527	0.3813	0.2274	0.1851
half	0.0896	0.0598	0.2760	0.4091	0.1655
half	0.0194	0.9206	0.0176	0.0177	0.0248
half	0.0890	0.1762	0.5850	0.0876	0.0622
half	0.0993	0.4999	0.1307	0.1434	0.1267
half	0.0592	0.4827	0.0552	0.0750	0.3279
half	0.1203	0.0623	0.0508	0.5773	0.1893
half	0.1827	0.1106	0.1154	0.1868	0.4045
half	0.2532	0.0569	0.0853	0.4309	0.1737
half	0.0411	0.0360	0.7751	0.0871	0.0607
half	0.1732	0.0625	0.0423	0.0792	0.6427
half	0.1506	0.0585	0.4174	0.2165	0.1570
half	0.0583	0.0309	0.5110	0.3110	0.0888
half	0.1028	0.3046	0.3261	0.2161	0.0503
half	0.0816	0.0750	0.0621	0.5766	0.2047
fall	0.1606	0.2242	0.1464	0.2529	0.2159
fall	0.2113	0.4801	0.0899	0.0778	0.1410
fall	0.4475	0.0283	0.0950	0.0886	0.3406
fall	0.1588	0.0516	0.0472	0.2367	0.5058
fall	0.1750	0.1328	0.1852	0.1912	0.3159
fall	0.1494	0.0404	0.5084	0.2211	0.0805
fall	0.2093	0.0667	0.0813	0.4484	0.1942
fall	0.4666	0.0469	0.1262	0.2587	0.1017
fall	0.0810	0.0191	0.0490	0.6817	0.1692
fall	0.2068	0.1595	0.0983	0.1529	0.3825
fall	0.1104	0.1487	0.4026	0.1480	0.1903
fall	0.1027	0.1402	0.0549	0.0844	0.6178
fall	0.0511	0.0362	0.5003	0.3081	0.1043
fall	0.1152	0.3126	0.0628	0.0840	0.4254
fall	0.2114	0.2030	0.0378	0.3538	0.1940
fall	0.2124	0.0401	0.0910	0.0875	0.5689
fall	0.0428	0.7618	0.0344	0.0652	0.0958
fall	0.3003	0.1348	0.2558	0.1554	0.1538
fall	0.5014	0.0598	0.0637	0.1562	0.2190
fall	0.2149	0.0827	0.0472	0.2840	0.3712
fall	0.2291	0.3164	0.0525	0.2666	0.1354
fall	0.4701	0.1922	0.0515	0.1260	0.1603
fall	0.0832	0.1287	0.3441	0.2697	0.1742
fall	0.1885	0.0544	0.0593	0.1307	0.5670
fall	0.1800	0.1956	0.1378	0.2050	0.2816
fall	0.3530	0.0596	0.0721	0.2336	0.2817
fall	0.1202	0.0304	0.1563	0.5261	0.1669
fall	0.3251	0.0531	0.2950	0.1457	0.1811
fall	0.4060	0.0272	0.1418	0.2080	0.2170
fall	0.0138	0.9472	0.0112	0.0124	0.0153
fall	0.0911	0.7389	0.0498	0.0530	0.0672
fall	0.2942	0.1231	0.0479	0.1207	0.4142
fall	0.0214	0.9146	0.0234	0.0209	0.0196
fall	0.1091	0.4227	0.2145	0.1558	0.0978
fall	0.1199	0.2336	0.0630	0.1502	0.4333
fall	0.0768	0.0373	0.6301	0.0920	0.1638
fall	0.3688	0.2002	0.0485	0.2459	0.1365
fall	0.2192	0.0260	0.1478	0.2192	0.3878
fall	0.4992	0.0356	0.1175	0.2149	0.1329
fall	0.0618	0.7715	0.0289	0.0727	0.0651
fall	0.5366	0.0244	0.0436	0.3203	0.0751
fall	0.3037	0.2209	0.3047	0.1063	0.0643
fall	0.2896	0.0416	0.0873	0.1949	0.3866
fall	0.0294	0.8643	0.0228	0.0391	0.0443
fall	0.2551	0.4480	0.0548	0.1683	0.0739
fall	0.1825	0.1226	0.0462	0.0833	0.5655
fall	0.4926	0.1483	0.0839	0.0863	0.1890
fall	0.4244	0.0327	0.0898	0.1934	0.2598
fall	0.0585	0.6107	0.0209	0.1856	0.1242
fall	0.2137	0.0251	0.2194	0.2636	0.2781
fall	0.3169	0.1202	0.0541	0.2907	0.2180
fall	0.0263	0.8895	0.0259	0.0303	0.0280
fall	0.1505	0.4335	0.0691	0.1341	0.2128
fall	0.2958	0.4874	0.0487	0.0716	0.0965
fall	0.1396	0.0432	0.5813	0.1043	0.1316
fall	0.4338	0.0190	0.1198	0.3408	0.0866
fall	0.1250	0.0503	0.6146	0.0842	0.1258
fall	0.1227	0.0622	0.0907	0.3065	0.4180
fall	0.3859	0.0370	0.0713	0.3609	0.1449
fall	0.0846	0.0394	0.2105	0.0476	0.6179
fall	0.1041	0.0343	0.4426	0.1916	0.2273
fall	0.2891	0.0216	0.1133	0.1552	0.4208
fall	0.2824	0.0166	0.0922	0.5485	0.0602
fall	0.3017	0.0292	0.0710	0.3523	0.2458
fall	0.1059	0.2991	0.0508	0.1469	0.3973
fall	0.3710	0.0298	0.0282	0.3993	0.1717
fall	0.1075	0.0264	0.1320	0.6603	0.0738
fall	0.0723	0.3744	0.0407	0.1635	0.3491
fall	0.1931	0.0582	0.0524	0.4691	0.2272
fall	0.2509	0.0395	0.1344	0.5212	0.0541
half	0.1461	0.0447	0.6063	0.1374	0.0654
half	0.1286	0.0613	0.0601	0.3869	0.3630
half	0.1193	0.0687	0.0270	0.6222	0.1629
half	0.1237	0.6374	0.0674	0.1044	0.0670
half	0.1007	0.7018	0.0586	0.0530	0.0859
half	0.0469	0.8155	0.0264	0.0318	0.0794
half	0.0730	0.1837	0.1804	0.4106	0.1523
half	0.2036	0.0262	0.4600	0.2074	0.1027
half	0.0371	0.8539	0.0267	0.0318	0.0506
half	0.2596	0.0382	0.0446	0.2558	0.4018
half	0.0608	0.8429	0.0210	0.0397	0.0357
half	0.0889	0.0429	0.0354	0.1493	0.6835
half	0.1529	0.1447	0.4852	0.1366	0.0807
half	0.4759	0.0176	0.2172	0.1374	0.1519
half	0.2372	0.3754	0.1016	0.1588	0.1270
half	0.1245	0.3303	0.2294	0.1435	0.1725
half	0.1815	0.4316	0.1102	0.0680	0.2087
half	0.0732	0.6490	0.0947	0.1229	0.0602
half	0.0586	0.0241	0.0242	0.8054	0.0876
half	0.4211	0.0484	0.0438	0.1360	0.3507
half	0.1509	0.1740	0.0735	0.2332	0.3684
half	0.6476	0.0329	0.0471	0.1388	0.1337
half	0.5777	0.0447	0.0362	0.1973	0.1442
half	0.1311	0.7035	0.0301	0.0374	0.0979
half	0.2413	0.3930	0.0763	0.2091	0.0803
half	0.1308	0.1777	0.1544	0.3563	0.1808
half	0.0873	0.0766	0.0441	0.2557	0.5363
half	0.0968	0.0359	0.0592	0.3616	0.4465
