pop	clust1	clust2	clust3
half	0.3733	0.2811	0.3455
half	0.2061	0.3244	0.4695
half	0.5219	0.1526	0.3255
half	0.4413	0.1233	0.4354
half	0.2371	0.5850	0.1779
half	0.5749	0.3420	0.0831
half	0.7519	0.1469	0.1011
half	0.4410	0.4674	0.0916
half	0.2114	0.4092	0.3795
half	0.2137	0.1690	0.6173
half	0.4933	0.3187	0.1880
half	0.6043	0.1815	0.2141
half	0.0642	0.8406	0.0952
half	0.4874	0.1017	0.4109
half	0.0982	0.1760	0.7259
half	0.1509	0.7761	0.0730
half	0.1301	0.3498	0.5201
half	0.1399	0.5787	0.2814
half	0.5581	0.1675	0.2744
half	0.3032	0.3643	0.3326
half	0.1915	0.4460	0.3624
half	0.5717	0.1647	0.2636
half	0.1257	0.1616	0.7127
half	0.1141	0.3517	0.5342
half	0.3129	0.2926	0.3945
half	0.5954	0.2901	0.1145
half	0.6645	0.1140	0.2215
half	0.7392	0.1206	0.1401
half	0.2656	0.2910	0.4434
half	0.2928	0.2703	0.4369
half	0.3730	0.1193	0.5077
half	0.6821	0.1023	0.2156
half	0.4777	0.1488	0.3735
half	0.8119	0.0667	0.1214
half	0.7814	0.1158	0.1028
half	0.7696	0.0832	0.1472
half	0.3229	0.0708	0.6063
half	0.6051	0.2123	0.1826
half	0.3676	0.1540	0.4784
half	0.1021	0.1023	0.7955
half	0.2900	0.0901	0.6199
half	0.7672	0.1024	0.1304
half	0.6926	0.1528	0.1547
half	0.3582	0.1828	0.4589
half	0.5491	0.1593	0.2916
half	0.2360	0.3799	0.3841
half	0.3518	0.4569	0.1913
half	0.5046	0.1151	0.3803
half	0.2542	0.6778	0.0680
half	0.7588	0.0709	0.1703
half	0.5556	0.3564	0.0880
half	0.2907	0.2992	0.4100
half	0.6694	0.1748	0.1557
half	0.0979	0.7913	0.1107
half	0.1422	0.1839	0.6739
half	0.4736	0.3145	0.2119
half	0.5537	0.1865	0.2598
half	0.5754	0.1084	0.3162
half	0.4455	0.1064	0.4481
half	0.0852	0.1604	0.7544
half	0.2180	0.5971	0.1848
half	0.0752	0.2486	0.6761
half	0.7759	0.0984	0.1257
half	0.3478	0.2868	0.3653
half	0.8321	0.0622	0.1057
half	0.3208	0.1262	0.5530
half	0.3093	0.1977	0.4929
half	0.1311	0.3996	0.4694
half	0.5048	0.2449	0.2504
half	0.5696	0.1943	0.2362
half	0.7473	0.1018	0.1509
half	0.2081	0.3614	0.4304
half	0.6342	0.1432	0.2227
half	0.7155	0.1820	0.1025
half	0.8142	0.0780	0.1078
half	0.2810	0.1536	0.5654
half	0.1840	0.5565	0.2595
half	0.4835	0.2969	0.2196
half	0.1930	0.0855	0.7214
half	0.4963	0.1564	0.3473
half	0.0851	0.8600	0.0549
half	0.6688	0.1409	0.1903
half	0.0784	0.7654	0.1562
half	0.4176	0.0555	0.5269
half	0.6067	0.1618	0.2315
half	0.4950	0.0797	0.4253
half	0.2042	0.1020	0.6937
half	0.3882	0.1996	0.4121
half	0.4502	0.2580	0.2918
half	0.6672	0.0596	0.2731
half	0.0509	0.9047	0.0444
half	0.1612	0.3652	0.4735
half	0.4040	0.2628	0.3333
half	0.8878	0.0309	0.0813
half	0.5618	0.2226	0.2156
half	0.5559	0.1939	0.2502
half	0.2294	0.2302	0.5404
half	0.5944	0.1311	0.2745
half	0.2332	0.2275	0.5393
half	0.5549	0.2216	0.2236
half	0.4244	0.1484	0.4272
half	0.4979	0.2569	0.2451
half	0.6513	0.1274	0.2213
half	0.2101	0.1160	0.6738
half	0.4561	0.1123	0.4316
half	0.6232	0.2033	0.1734
half	0.2294	0.0894	0.6812
half	0.4617	0.1530	0.3852
half	0.1212	0.1021	0.7767
half	0.2712	0.1922	0.5366
half	0.6747	0.1548	0.1705
