pop	clust1	clust2
winter	0.5478	0.4522
winter	0.5462	0.4538
half	0.5505	0.4495
winter	0.5660	0.4340
half	0.5574	0.4426
summer	0.6330	0.3670
summer	0.7979	0.2021
summer	0.4922	0.5078
summer	0.6029	0.3971
summer	0.6140	0.3860
winter	0.5224	0.4776
half	0.3641	0.6359
winter	0.5902	0.4098
winter	0.6208	0.3792
winter	0.5283	0.4717
winter	0.5798	0.4202
half	0.4780	0.5220
winter	0.5972	0.4028
half	0.2077	0.7923
summer	0.7438	0.2562
half	0.2337	0.7663
summer	0.6143	0.3857
summer	0.6090	0.3910
summer	0.5614	0.4386
summer	0.6898	0.3102
winter	0.5337	0.4663
half	0.6476	0.3524
winter	0.5939	0.4061
winter	0.5567	0.4433
winter	0.6205	0.3795
winter	0.5284	0.4716
half	0.4933	0.5067
half	0.5215	0.4785
summer	0.5365	0.4635
summer	0.5608	0.4392
summer	0.8334	0.1666
summer	0.6987	0.3013
summer	0.7044	0.2956
half	0.6651	0.3349
winter	0.5765	0.4235
winter	0.5517	0.4483
winter	0.5719	0.4281
winter	0.5107	0.4893
summer	0.4664	0.5336
summer	0.6143	0.3857
summer	0.6975	0.3025
summer	0.6330	0.3670
summer	0.7885	0.2115
half	0.3547	0.6453
winter	0.6051	0.3949
winter	0.6451	0.3549
winter	0.5694	0.4306
half	0.4637	0.5363
half	0.6158	0.3842
summer	0.6406	0.3594
summer	0.5759	0.4241
summer	0.8093	0.1907
summer	0.7308	0.2692
summer	0.6779	0.3221
half	0.3230	0.6770
half	0.3620	0.6380
half	0.5472	0.4528
half	0.2016	0.7984
half	0.6292	0.3708
half	0.4929	0.5071
half	0.5574	0.4426
half	0.4673	0.5327
half	0.1858	0.8142
half	0.2731	0.7269
half	0.2098	0.7902
half	0.5517	0.4483
half	0.5582	0.4418
half	0.6192	0.3808
half	0.5245	0.4755
half	0.3833	0.6167
half	0.3661	0.6339
half	0.4891	0.5109
half	0.3735	0.6265
half	0.6254	0.3746
half	0.1880	0.8120
half	0.5859	0.4141
half	0.5700	0.4300
half	0.4656	0.5344
half	0.5392	0.4608
half	0.5387	0.4613
half	0.4665	0.5335
half	0.4775	0.5225
half	0.6929	0.3071
half	0.6581	0.3419
half	0.6064	0.3936
half	0.1731	0.8269
half	0.5834	0.4166
half	0.5234	0.4766
half	0.6721	0.3279
half	0.4800	0.5200
half	0.3653	0.6347
half	0.3596	0.6404
half	0.6314	0.3686
half	0.4373	0.5627
half	0.6664	0.3336
half	0.6008	0.3992
half	0.3404	0.6596
half	0.1508	0.8492
half	0.6569	0.3431
half	0.6533	0.3467
half	0.6169	0.3831
half	0.2182	0.7818
half	0.5428	0.4572
half	0.4715	0.5285
half	0.4933	0.5067
half	0.3143	0.6857
half	0.3216	0.6784
half	0.2203	0.7797
half	0.5981	0.4019
half	0.6580	0.3420
half	0.6337	0.3663
half	0.5235	0.4765
half	0.5402	0.4598
half	0.3930	0.6070
half	0.2340	0.7660
half	0.3962	0.6038
half	0.2101	0.7899
half	0.1740	0.8260
half	0.5364	0.4636
half	0.2576	0.7424
half	0.1964	0.8036
half	0.5612	0.4388
half	0.4691	0.5309
half	0.4893	0.5107
half	0.2322	0.7678
half	0.4189	0.5811
half	0.4386	0.5614
half	0.1729	0.8271
half	0.4593	0.5407
half	0.3266	0.6734
half	0.2607	0.7393
half	0.7792	0.2208
half	0.2205	0.7795
half	0.5011	0.4989
half	0.6264	0.3736
half	0.3508	0.6492
half	0.6083	0.3917
half	0.2347	0.7653
half	0.5904	0.4096
half	0.6572	0.3428
half	0.5815	0.4185
half	0.4007	0.5993
half	0.3111	0.6889
half	0.4533	0.5467
half	0.6017	0.3983
half	0.6458	0.3542
half	0.5058	0.4942
half	0.3413	0.6587
half	0.1897	0.8103
half	0.1596	0.8404
half	0.3539	0.6461
half	0.5141	0.4859
half	0.5421	0.4579
half	0.5938	0.4062
half	0.1726	0.8274
half	0.6101	0.3899
half	0.5770	0.4230
half	0.5413	0.4587
half	0.3711	0.6289
half	0.3279	0.6721
half	0.3579	0.6421
half	0.5722	0.4278
half	0.5134	0.4866
half	0.6027	0.3973
half	0.6002	0.3998
half	0.2445	0.7555
half	0.1526	0.8474
half	0.1906	0.8094
half	0.5226	0.4774
half	0.2061	0.7939
half	0.2930	0.7070
half	0.5519	0.4481
half	0.4174	0.5826
half	0.6321	0.3679
half	0.5900	0.4100
half	0.5933	0.4067
half	0.2343	0.7657
half	0.5134	0.4866
half	0.5014	0.4986
half	0.1774	0.8226
half	0.5560	0.4440
half	0.5102	0.4898
half	0.5290	0.4710
half	0.3599	0.6401
half	0.4654	0.5346
half	0.1435	0.8565
half	0.4474	0.5526
half	0.2694	0.7306
half	0.5463	0.4537
